Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Pakeezah,04-Feb-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Balidaan,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0,,,
Shararat,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Samadhi,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Shor,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Mere Jeevan Saathi,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Dushmun,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Dastaan,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Jawani Diwani,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Apna Desh,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Beimaan,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Amar Prem,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Apradh,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Rampur Ka Laxman,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Seeta Aur Geeta,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Shehzada,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Hare Rama Hare Krishna,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Gora Aur Kala,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Bhai Ho To Aisa,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Anuraag,01-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Namak Haraam,23-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Aa Gale Lag Jaa,16-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Yaadon Ki Baaraat,03-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Saudagar,26-Oct-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Joshila,19-Oct-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Bobby,29-Sep-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Anhonee,26-Sep-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Jugnu,30-Aug-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Abhimaan,27-Jul-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.8,,,
Zanjeer,11-May-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Dharma,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Pinjra,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Daag,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Jheel Ke Us Paar,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Black Mail,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Heera,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Kuchhe Dhaage,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Kahani Kismat Ki,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Keemat,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Loafer,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Jaise Ko Taisa,01-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Majboor,06-Dec-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Roti,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Roti Kapada Aur Makaan,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Benaam,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Haath Ki Safai,30-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Kasauti,09-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Amir Garib,02-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Sagina,26-Jul-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Prem Nagar,24-May-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Aap Ki Kasam,03-May-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Dost,12-Apr-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Chor Machaye Shor,22-Mar-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Pocket Maar,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Patthar Aur Payal,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Bidaai,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
